District,Total Constituencies,Tamilaga Vetri Kazhagam Wins,All India Anna Dravida Munnetra Kazhagam Wins,Dravida Munnetra Kazhagam Wins
Ariyalur,2,2,1,2
Chengalpattu,6,6,5,3
Chennai,21,21,17,19
Coimbatore,14,14,11,11
Cuddalore,9,9,7,5
Dharamapuri,5,5,3,3
Dindigul,7,7,6,6
Erode,10,10,8,8
Kallakurichi,5,5,4,4
Kanchipuram,3,3,2,2
Kanyakumari ,6,6,1,2
Karur,4,4,4,4
Krishnagiri,5,5,4,3
Madurai,10,10,9,8
Mayiladuthurai,3,3,2,2
Nagapattinam,3,3,2,2
Namakkal,4,4,4,4
Nilgiris,3,3,2,2
Perambalur,2,2,2,2
Pudukottai,6,6,3,4
Ramanathapuram,4,4,3,3
Ranipet,2,2,1,0
Salem,13,12,10,10
Sivaganga,4,4,1,3
Tenkasi,5,5,4,4
Thanjavur,8,8,5,7
Theni,4,4,3,3
Thoothukudi,6,6,4,5
Tirunelveli,5,5,3,3
Tiruppur,2,2,1,2
Tiruvallur,7,7,5,5
Tiruvannamalai ,8,8,6,7
Tiruvarur,4,4,2,3
Trichy,9,9,8,8
Vellore,12,12,10,9
Villupuram,6,6,4,4
Virudhunagar,7,7,5,4
