Constituency,District,Winner,Winner Party,Winner Total Votes,Winner Vote Percentage,1st Runner Up,1st Runner Up Party,1st Runner Up Total Votes,1st Runner Up Vote Percentage,2nd Runner Up,2nd Runner Up Party,2nd Runner Up Total Votes,2nd Runner Up Vote Percentage,3rd Runner Up Party,3rd Runner Up Total Votes,3rd Runner Up Vote Percentage,Winning Margin,Winning Margin Percentage
ALANDUR - 28,Chennai,M.HARISH,Tamilaga Vettri Kazhagam,112205,42.9,T.M.ANBARASAN,Dravida Munnetra Kazhagam,82596,31.58,S.SARAVANAN,All India Anna Dravida Munnetra Kazhagam,52243,19.97,Naam Tamilar Katchi,10405,3.98,29609,11.32
ALANGUDI - 182,Pudukottai,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,64929,35.98,KANDASAMY,Tamilaga Vettri Kazhagam,51952,28.78,DHANA VIMAL,All India Anna Dravida Munnetra Kazhagam,50063,27.74,Naam Tamilar Katchi,10652,5.9,12977,7.199999999999996
ALANGULAM - 223,Tenkasi,PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,69170,31.32,K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,61372,27.79,VIBIN CHAKKARAVARTHY,Tamilaga Vettri Kazhagam,60684,27.48,Naam Tamilar Katchi,23380,10.59,7798,3.530000000000001
AMBASAMUDRAM - 225,Tirunelveli,DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,65589,34.3,V.P.DURAI,Indian National Congress,55344,28.95,S.RAJAGOPAL,Tamilaga Vettri Kazhagam,53611,28.04,Naam Tamilar Katchi,14906,7.8,10245,5.349999999999998
AMBATTUR - 8,Chennai,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,133339,51.29,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,74558,28.68,K.N. SEKAR,Pattali Makkal Katchi,35997,13.85,Naam Tamilar Katchi,11088,4.26,58781,22.61
AMBUR - 48,Vellore,VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,74102,37.89,IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,66971,34.24,VENKATESAN. R,All India Anna Dravida Munnetra Kazhagam,47100,24.08,Naam Tamilar Katchi,4185,2.14,7131,3.6499999999999986
ANAIKATTU - 44,Vellore,D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,76302,35.27,A.P.NANDAKUMAR,Dravida Munnetra Kazhagam,69221,32.0,R.VELMURUGAN,Tamilaga Vettri Kazhagam,63287,29.26,Naam Tamilar Katchi,4746,2.19,7081,3.270000000000003
ANDIPATTI - 198,Theni,MAHARAJAN.A,Dravida Munnetra Kazhagam,74324,34.2,PANDI.V,Tamilaga Vettri Kazhagam,64770,29.8,LOGIRAJAN.A,All India Anna Dravida Munnetra Kazhagam,63343,29.15,Naam Tamilar Katchi,10346,4.76,9554,4.400000000000002
ANNA NAGAR - 21,Chennai,V.K.RAMKUMAR,Tamilaga Vettri Kazhagam,71375,43.7,N.CHITRARASU,Dravida Munnetra Kazhagam,50012,30.62,S.GOKULA INDIRA,All India Anna Dravida Munnetra Kazhagam,34382,21.05,Naam Tamilar Katchi,4839,2.96,21363,13.080000000000002
ANTHIYUR - 105,Erode,HARIBASKAR.P,All India Anna Dravida Munnetra Kazhagam,60042,32.32,SIVABALAN.M,Dravida Munnetra Kazhagam,58782,31.64,VIJAY VENKATESH.M,Tamilaga Vettri Kazhagam,56372,30.34,Naam Tamilar Katchi,5287,2.85,1260,0.6799999999999997
